node	x	y	z
4679	737949.515250	4778623.399703	0.000000
4681	737977.113363	4778559.214048	0.000000
4682	737758.157241	4778647.063896	0.000000
4684	737987.782165	4778141.846226	0.000000
4685	738544.232165	4778254.876777	0.000000
4686	738109.026185	4778551.524960	0.000000
4687	738336.627343	4778336.012441	0.000000
4689	738049.890880	4778745.708167	0.000000
4694	738272.129007	4779393.468252	0.000000
4702	738773.018305	4779913.464885	0.000000
4727	739225.046059	4779190.110001	0.000000
4731	739082.834272	4779261.042356	0.000000
4733	739462.625386	4779342.592916	0.000000
4735	739402.237147	4779425.213883	0.000000
4739	739756.382894	4779944.090564	0.000000
4740	739779.698425	4780471.369304	0.000000
4741	739794.875099	4780612.703357	0.000000
4745	740134.846777	4781221.735683	0.000000
4746	740156.803614	4781354.525896	0.000000
4748	740115.078897	4781686.984845	0.000000
4749	740187.818585	4781759.873878	0.000000
4750	740227.960636	4781801.533690	0.000000
4751	740235.719045	4781831.075212	0.000000
4753	739921.777094	4782185.311542	0.000000
4759	739458.113130	4782731.911415	0.000000
4760	739223.804016	4783031.755069	0.000000
4762	733908.050579	4777378.591838	0.000000
4780	749665.099917	4804834.478514	0.000000
4784	749629.255607	4804819.708146	0.000000
4788	749672.300352	4804975.644467	0.000000
4790	749690.879969	4804914.717214	0.000000
4792	749654.179391	4804866.027442	0.000000
4824	749293.132372	4803157.749301	0.000000
4825	748978.520839	4803845.420115	0.000000
4827	749259.149788	4803214.628550	0.000000
4829	748971.195753	4803733.145534	0.000000
4831	749272.113042	4803222.780387	0.000000
4832	749306.897256	4803166.397863	0.000000
4839	748951.920006	4803813.099870	0.000000
4844	748831.503035	4805446.164020	0.000000
4853	748718.420646	4805589.326542	0.000000
4876	748962.326680	4803766.572642	0.000000
4987	754079.314033	4803950.881671	0.000000
5086	749922.905560	4804659.178393	0.000000
5097	751738.979767	4804508.491003	0.000000
5098	751928.660576	4804572.581724	0.000000
5108	754572.017502	4805507.318088	0.000000
5119	751713.576675	4804514.140007	0.000000
5123	751602.502482	4804499.649119	0.000000
5126	754965.427811	4805649.916555	0.000000
5128	754567.796776	4805514.444131	0.000000
5130	752571.400139	4804750.803018	0.000000
5131	751797.000789	4804542.516884	0.000000
5163	762480.203979	4808176.242239	0.000000
5176	729671.259260	4769625.815645	0.000000
5178	729870.084916	4769634.226181	0.000000
5180	729872.287337	4769350.391312	0.000000
5181	729308.785104	4768752.756427	0.000000
5182	729297.872881	4769113.903267	0.000000
5191	729306.757779	4768640.604395	0.000000
5195	729350.195369	4769371.503893	0.000000
5206	730271.672076	4770044.980501	0.000000
5214	729882.802541	4769894.847656	0.000000
5217	730479.654831	4769678.446618	0.000000
5222	730344.113963	4769635.605321	0.000000
5223	730250.039731	4769647.199370	0.000000
5239	729502.601082	4769533.090701	0.000000
5247	729181.126309	4769735.593290	0.000000
5250	729130.186012	4769790.488009	0.000000
5251	729091.200937	4769815.719984	0.000000
5253	729062.453270	4769839.883406	0.000000
5261	728924.215460	4769932.190067	0.000000
5278	728522.591575	4770296.252456	0.000000
5285	728424.687879	4770570.278435	0.000000
5289	728879.830172	4770413.793893	0.000000
5315	728626.306307	4767269.740587	0.000000
5348	729707.949252	4769825.123701	0.000000
5358	728762.773664	4764753.082256	0.000000
5380	727964.885539	4765135.853713	0.000000
5381	727959.195264	4765139.855630	0.000000
5382	727954.213645	4765150.507557	0.000000
5407	727800.454403	4765909.855263	0.000000
5411	727679.982412	4766068.312572	0.000000
5421	728007.554816	4766757.009571	0.000000
5598	748393.730893	4805947.614050	0.000000
5601	764602.075026	4801911.099346	0.000000
5619	765847.341208	4802261.572535	0.000000
5623	766069.152256	4802359.507933	0.000000
5681	767912.440696	4804793.233313	0.000000
5684	767762.749719	4804833.387135	0.000000
5686	767690.800253	4804861.427951	0.000000
5688	767638.083076	4804918.163591	0.000000
5692	767514.791996	4805000.059811	0.000000
5696	767311.278347	4805046.813568	0.000000
5697	767115.879014	4805120.847297	0.000000
5717	762494.736817	4806970.755314	0.000000
5725	762476.084862	4807909.710388	0.000000
5728	762689.123300	4807912.068089	0.000000
5735	764790.231899	4807524.690598	0.000000
5738	764954.461655	4807384.055787	0.000000
5740	765090.648552	4807255.327053	0.000000
5744	765312.201829	4807104.514221	0.000000
5753	766015.541600	4807282.991496	0.000000
5754	766043.976533	4807313.056064	0.000000
5760	766522.984822	4808197.521786	0.000000
5775	767572.242699	4808831.266993	0.000000
5776	767635.215803	4808840.126928	0.000000
5781	767866.433490	4808941.619242	0.000000
5787	768238.314067	4809162.843836	0.000000
5789	768330.144152	4809232.450063	0.000000
5793	743928.999905	4789922.721839	0.000000
5795	744033.936026	4789770.860751	0.000000
5797	744153.791709	4789641.634102	0.000000
5801	744524.975409	4789293.038553	0.000000
5808	744911.743882	4789092.304782	0.000000
5811	745207.771188	4789023.319500	0.000000
5812	745224.843497	4789020.855573	0.000000
5814	745500.333976	4789001.095308	0.000000
5816	745786.945870	4788986.741818	0.000000
5824	746616.445344	4789068.751039	0.000000
5897	750643.915051	4788874.468630	0.000000
5925	751867.191349	4787913.996118	0.000000
5942	756508.094064	4788928.457154	0.000000
5946	756013.643509	4788747.071655	0.000000
5949	755715.172073	4788717.075026	0.000000
5973	754444.269895	4787635.374596	0.000000
5975	754085.726290	4787527.920676	0.000000
5978	753273.401155	4787378.275642	0.000000
5979	753246.670316	4787371.106688	0.000000
5980	753119.620007	4787319.605581	0.000000
5983	752839.614547	4787180.736088	0.000000
5992	752745.139251	4787211.920645	0.000000
5995	752593.628545	4787337.565909	0.000000
6016	750764.730629	4784721.685125	0.000000
6053	747890.411372	4782846.509738	0.000000
6059	747830.412693	4782701.109035	0.000000
6073	748551.303868	4781957.021076	0.000000
6124	759597.470960	4790518.804967	0.000000
6126	759806.335781	4790687.117867	0.000000
6133	759901.945915	4791002.401546	0.000000
6145	758894.791256	4792355.101858	0.000000
6161	757899.814778	4792975.005200	0.000000
6201	760049.695922	4795534.475723	0.000000
6219	761346.320769	4796351.682775	0.000000
6229	762081.317083	4796686.803687	0.000000
6242	762428.055551	4797010.327944	0.000000
6252	762635.490262	4797818.389723	0.000000
6258	762821.009984	4798376.508124	0.000000
6326	747477.575541	4779912.553476	0.000000
6374	747201.844496	4779951.403579	0.000000
6377	746934.460589	4780070.369573	0.000000
6404	745273.820083	4779292.080124	0.000000
6410	745271.653646	4779151.372266	0.000000
6414	745314.263086	4779032.171379	0.000000
6423	745337.100201	4778856.300185	0.000000
