id	node	link	layer	offset	easting	northing	elevation	tag	notes
196044	541989	3087514	AUTO/BUS/WALK	38.600068	745251.305251	4790932.631531	0.000000	Shop	car
196052	599615	3072564	AUTO/BUS/WALK	30.953626	748449.888381	4806073.339344	0.000000	Amenity	cafe
196056	189403	3095013	AUTO/BUS/WALK	49.746591	738552.449230	4780055.605765	0.000000	Shop	hardware
196077	615021	3117834	AUTO/BUS/WALK	59.971749	738588.572616	4775928.768531	0.000000	Amenity	library
196118	959584	3080015	AUTO/BUS/WALK	18.663655	733741.052321	4776642.719063	0.000000	Shop	convenience
196123	502156	3059243	AUTO/BUS/WALK	12.750840	734457.265154	4777931.705626	0.000000	Amenity	cafe
196126	502110	3127233	AUTO/BUS/WALK	17.920630	734458.129092	4777863.274757	0.000000	Shop	fabric
196129	502110	3058716	AUTO/BUS/WALK	20.864693	734437.688631	4777866.440937	0.000000	Shop	florist
196132	814094	3055034	AUTO/BUS/WALK	18.411197	734954.366566	4777896.267813	0.000000	Amenity	cafe
196144	646223	3128475	AUTO/BUS/WALK	28.517978	735479.152724	4779926.241347	0.000000	Shop	supermarket
196147	27299	3122834	AUTO/BUS/WALK	149.983495	724474.357529	4763594.478628	0.000000	Leisure	sauna
196188	648166	3105042	AUTO/BUS/WALK	47.201391	735091.998779	4779676.113178	0.000000	Shop	supermarket
196192	640746	3052418	AUTO/BUS/WALK	40.450650	735226.935346	4779187.143560	0.000000	Amenity	atm
196198	647756	3128320	AUTO/BUS/WALK	8.960172	735314.097822	4779235.131760	0.000000	Amenity	atm
196228	599534	3072530	AUTO/BUS/WALK	24.780902	748854.861132	4805466.320277	0.000000	Shop	convenience
196231	499605	3100709	AUTO/BUS/WALK	65.356981	736849.775885	4777523.459415	0.000000	Amenity	nightclub
196233	509406	3104805	AUTO/BUS/WALK	48.320487	736890.392180	4777576.465319	0.000000	Amenity	bench
196251	139328	3053821	AUTO/BUS/WALK	24.491602	734538.005802	4777994.839068	0.000000	Amenity	fast_food
