LAT,LON,HOUSE_ID,ADDRESS,YEAR,LASTUPDATE,SERVICEDATE_START,SERIE,HOUSE_TYPE,CAPFOND,MGMT_COMPANY,MGMT_COMPANY_LINK,AVAR,LEVELS_MAX,LEVELS_MIN,DOORS,ROOM_COUNT,ROOM_COUNT_LIVE,ROOM_COUNT_NONLIVE,AREA,AREA_LIVE,AREA_NONLIVE,AREA_GEN,AREA_LAND,AREA_PARK,CADNO,ENERGY_CLASS,BLAG_PLAYGROUND,BLAG_SPORT,BLAG_OTHER,OTHER,
43.13096,131.891908,8086546,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 2",1968,31.03.2016 в 00:47,01.12.2010,Не заполнено,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Фрунзенского района""",http://www.reformagkh.ru/mymanager/profile/6953242/,Нет,5,1,4,66,65,1,3830.3,2886.3,44,900,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.13142,131.892339,8086585,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 2а",1970,08.04.2016 в 01:47,01.12.2010,Не заполнено,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Фрунзенского района""",http://www.reformagkh.ru/mymanager/profile/6953242/,Нет,12,1,1,48,48,0,3041.8,2396.1,0,645.7,Незаполнено,Незаполнено,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено,
43.131414,131.891494,8086547,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 4",1968,08.04.2016 в 02:40,01.12.2010,Не заполнено,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Фрунзенского района""",http://www.reformagkh.ru/mymanager/profile/6953242/,Нет,66,1,4,66,65,1,3904,2914,50,940,Незаполнено,Незаполнено,,Не присвоен,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.132137,131.89189,6690514,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 4, к. б",1970,22.05.2015 в 20:42,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,,Нет,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,2636.6,2477,Незаполнено,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.131815,131.892114,8086588,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 4а",1970,08.04.2016 в 03:31,01.11.2010,Не заполнено,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Фрунзенского района""",http://www.reformagkh.ru/mymanager/profile/6953242/,Нет,12,1,1,48,48,0,3036.7,2396.7,0,640,1744,Незаполнено,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено,
43.132137,131.89189,8086589,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 4б",1970,29.03.2016 в 02:18,01.12.2010,Не заполнено,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Фрунзенского района""",http://www.reformagkh.ru/mymanager/profile/6953242/,Нет,12,1,1,48,48,0,3078.3,2418.3,0,660,1871,Незаполнено,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено,
43.132368,131.88977,8086548,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 5",1967,08.04.2016 в 10:21,01.12.2010,Не заполнено,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Фрунзенского района""",http://www.reformagkh.ru/mymanager/profile/6953242/,Нет,5,1,2,40,40,1,2718.3,1677.7,90.6,950,Незаполнено,Незаполнено,,Не присвоен,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.131828,131.891126,8086549,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 6",1968,22.04.2016 в 06:07,12.05.2014,"хрущевка,1-2в",Многоквартирный дом,На счете регионального оператора,"ООО ""УК Эгершельд ДВ""",http://www.reformagkh.ru/mymanager/profile/8804978/,Нет,5,0,4,60,60,0,3462.31,3010.5,451.81,346.31,1100,0,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено,
43.132512,131.891692,8086590,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 6б",1970,29.03.2016 в 02:23,01.12.2010,Не заполнено,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Фрунзенского района""",http://www.reformagkh.ru/mymanager/profile/6953242/,Нет,12,1,1,48,48,0,2948.8,2378.8,0,570,Незаполнено,Незаполнено,,Не заполнено,Не имеется,Не имеется,Не заполнено,Не заполнено,
43.132512,131.891692,9080442,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 6Б.",1970,25.11.2015 в 04:16,08.06.2015,Панельный,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Эгершельд ДВ""",http://www.reformagkh.ru/mymanager/profile/8804978/,Нет,9,0,1,48,48,0,2746.89,2388.6,0,358.29,0,0,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено,
43.132756,131.88994,8086550,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 7",1967,30.03.2016 в 06:10,01.12.2010,Не заполнено,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Фрунзенского района""",http://www.reformagkh.ru/mymanager/profile/6953242/,Нет,5,1,4,60,60,0,3480.6,2700.6,0,780,Незаполнено,Незаполнено,,Не присвоен,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.132401,131.890946,8086551,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 8",1973,08.04.2016 в 10:58,01.12.2010,Не заполнено,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Фрунзенского района""",http://www.reformagkh.ru/mymanager/profile/6953242/,Нет,5,0,4,61,60,1,3776.1,2754.1,152,870,Незаполнено,Незаполнено,,Не присвоен,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.133118,131.890973,8086553,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 10",1968,30.03.2016 в 06:16,01.12.2010,Не заполнено,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Фрунзенского района""",http://www.reformagkh.ru/mymanager/profile/6953242/,Нет,5,0,2,45,44,1,2432.7,1725.7,263,444,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
