	Unnamed: 0	name	cat	address	emp	vac	lat	lon	district
876	876	"ООО ""РОССВЕТ ПРИМОРЬЕ"""	Деятельность предприятий общественного питания по обслуживанию торжественных мероприятий и прочим видам организации питания	690014, г Владивосток, пр-кт Народный, д. 28, офис 206 а	100	0	43.129424	131.9189532	Первореченский
877	877	"ООО ""Ростелеком-Розничные системы"""	Деятельность холдинговых компаний…	г Владивосток, пр-кт Красного Знамени, д. 37	318	4	43.1287776	131.901173	
878	878	"ООО ""РОСТЕХСЕРВИС"""	Производство электромонтажных, санитарно-технических и прочих строительно-монтажных работ	690089, г Владивосток, ул Карбышева, д. 16	63	0	43.154957	131.923933	Первореченский
879	879	"ООО ""РОСТТРАНС"""	Деятельность автобусного транспорта по регулярным внутригородским и пригородным пассажирским перевозкам	690091, г Владивосток, ул Посьетская, д. 32	78	0	43.1138663	131.880256	Фрунзенский
880	880	"ООО ""РОСТТРАНС-ДВ"""	Деятельность туристических агентств…	690062, г Владивосток, ул Днепровская, д. 25А	23	0	43.1437078	131.9278553	Первореченский
881	881	"ООО ""РОСТТРАНС-ПРИМОРЬЕ"""	Деятельность автобусного транспорта по регулярным внутригородским и пригородным пассажирским перевозкам	690062, г Владивосток, ул Днепровская, д. 25, корп. А	13	0	43.1437078	131.9278553	Первореченский
882	882	"ООО ""РСА"""	Торговля розничная алкогольными напитками, кроме пива, в специализированных магазинах…	690080, г Владивосток, ул Сахалинская, д. 29, офис 3	88	5	43.0903426	131.9670162	Первомайский
883	883	"ООО ""РСК КФК"""	Строительство мостов и тоннелей	690068, г Владивосток, пр-кт 100-летия Владивостока, д. 127	70	0	43.1713725	131.9157986	Советский
884	884	"ООО ""РУБИН"""	Деятельность предприятий общественного питания по прочим видам организации питания…	690017, г Владивосток, ул Патрокл, д. 10, рабочие места по адресу г.Владивосток (пищеблоки детских садов Советский и Первомайский районы)	14	0	43.0915363	131.935815	Первомайский
885	885	"ООО ""РУСКОР"""	Строительство жилых и нежилых зданий…	690063, г Владивосток, ул Босфора, д. 42, Мыс Анна, собеседование с предварительным обращением по телефону	0	0	43.0837023	131.8958012	Первомайский
886	886	"ООО ""Русская Рыбопромышленная Компания"" "	Деятельность по управлению финансово-промышленными группами…	690001, г Владивосток, ул Пушкинская, д. 87	179	7	43.1152442	131.9126358	Ленинский
887	887	"ООО ""Русский Тур"""	Деятельность туристических агентств…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 501, Собеседование проходит каждый вторник с 10 до 11, обязательна предварительная запись по телефону. Рабочие места по адресам: ул. Выселковая, ул. Маковского, ул. Десятая;	8	1	43.1286497	131.8921162	Фрунзенский
888	888	"ООО ""Рустил"""	Торговля оптовая черными металлами в первичных формах…	"690025, г Владивосток, ул Фанзавод, д. 1, офис 26, за переездом металлобаза ""Рустил"", администр.-бытовой корпус, 2-й этаж"	2	0	43.2395088	132.0146719	Советский
889	889	"ООО ""РЫБНЫЙ МИР"""	Переработка и консервирование рыбы, ракообразных и моллюсков	690025, г Владивосток, ул Успенского, д. 78	31	0	43.2410633	132.0174521	Советский
890	890	"ООО ""РЫНРАДО"""	Строительство жилых и нежилых зданий	690065, г Владивосток, ул Крыгина, д. 89, на собеседование предварительно обращаться по телефону	0	0	43.0837941	131.8537208	Фрунзенский
891	891	"ООО ""РЮНСЕН-ПРИМ"""	Строительство жилых и нежилых зданий…	690074, г Владивосток, ул Снеговая, д. 32, корп. А, 1-й этаж, собеседование граждан с предварительной записью по  телефону	79	0	43.1832476	131.9193988	Советский
892	892	"ООО ""С25РУ"""	Деятельность по созданию и использованию баз данных и информационных ресурсов…	690005, г Владивосток, ул Зейская, д. 4/2, собеседование	58	0	43.1169079	131.9345956	Ленинский
